fen	depth	best	total_nodes	root_nodes	best_nodes	share_pct
8/2K4p/2B5/5p2/1n3k2/4p3/8/8 b - - 1 56	12	e3e2	246992	246969	244499	99
8/8/8/8/4k1K1/8/8/5r2 b - - 12 88	12	f1g1	27544	27530	15967	58
8/7p/4k2P/5p2/3K2n1/8/3B4/8 b - - 13 65	12	e6f7	30535	30520	10071	33
8/8/8/8/4B3/1n2k1K1/8/8 b - - 11 73	12	b3d2	20040	20024	7408	37
8/8/8/kpB5/5R1p/4P2K/6PP/8 b - - 3 60	12	a5a6	20580	20557	19529	95
8/8/6k1/3K3N/8/8/8/4r3 w - - 31 96	12	h5g3	45559	45546	38714	85
8/1k4R1/4p3/P2p1n2/1P6/8/1K6/8 b - - 0 44	12	f5g7	27781	27760	25261	91
8/8/2p2p2/2P1pP2/2b1P3/4K1k1/p7/3R4 w - - 47 138	12	d1g1	55669	55650	46189	83
8/2p3k1/p7/1p2Nn2/4p3/P7/1P3K2/4R3 b - - 3 52	12	f5d6	74113	74094	32601	44
8/3R2k1/8/5p1p/3K2p1/4P1r1/8/8 b - - 1 70	12	g7g6	110268	110250	55125	50
8/1ppk1p2/7p/r2PR1p1/2PK2P1/8/7P/8 w - - 0 44	12	e5f5	63445	63426	36787	58
8/1N2k1p1/4p2p/3pP2P/b2P2P1/2bN4/4K3/8 w - - 6 55	12	b7c5	23111	23097	11317	49
4r3/5pp1/p5k1/PpB4p/8/1P2P3/5KPP/3R4 b - - 1 38	12	e8e6	158257	158243	85451	54
8/6p1/5k2/4p3/3q4/4KB2/8/8 w - - 4 85	12	e3e2	188673	188649	188649	100
4R3/8/8/4k3/5p2/1K2p3/P4r2/3n4 b - - 1 47	12	e5f6	173027	173005	121103	70
4R3/4K3/8/3k4/4p3/4Br2/5P2/8 b - - 17 112	12	d5e5	94356	94342	32076	34
8/pp3p1p/5k2/8/8/2K4P/P2R1Pq1/8 w - - 4 30	12	d2d3	735257	735236	139694	19
6k1/5p2/3p2pp/4b3/4P1PP/4R3/4K1Nr/8 w - - 6 42	12	e2f1	151456	151443	74207	49
8/5b2/2p2p2/2P1pP2/4P3/3B2k1/pr1K4/4R3 w - - 38 99	12	d2e3	52120	52101	46369	89
8/8/8/4q3/8/1R6/3k4/1K6 w - - 76 99	12	b3b4	106454	106437	38317	36
6k1/p4ppp/bpr1p3/4n3/P7/4B1P1/4KP1P/R7 w - - 1 26	12	e2d1	127988	127968	122849	96
3Q2k1/4K1n1/6r1/5p1p/8/4PP2/8/8 b - - 2 65	12	g8h7	107015	106989	105919	99
6n1/8/1p1R2Br/1P2p3/1k3p1p/5P1P/1BP2P2/7K b - - 0 37	12	g8e7	37308	37285	32437	87
8/3r4/8/5RN1/3b4/6k1/K2n4/8 w - - 19 71	12	f5a5	63286	63266	32898	52
8/1p3p1k/4qp2/p1P5/8/6PK/PP6/1R5R w - - 2 34	12	h3g2	162956	162939	65175	40
8/5Q2/8/1p6/2p5/1k4P1/3q1PK1/8 b - - 24 102	12	d2e2	187559	187531	161276	86
3B4/pb4kp/4B1p1/8/1P6/P1n1R3/6rP/5K2 b - - 1 55	12	g2c2	294240	294213	208891	71
6k1/1p1n1p2/1p1B2b1/2pP4/2P2R1P/N3K3/8/3r4 w - - 14 34	12	a3b5	126856	126842	100205	79
2r3k1/p4ppp/bpB1p3/8/2n5/4B1P1/P3KP1P/b6R w - - 0 24	12	h1a1	323133	323117	138940	43
5r1k/4RB2/6p1/p6p/7r/1P6/2PR2K1/8 b - - 7 37	12	h4g4	143144	143128	54388	38
r5k1/1b1P3P/p3p3/5p2/5P2/BP1N4/P2r4/2R3K1 b - - 0 37	12	g8h7	80420	80394	69138	86
5k2/1p6/2n2B2/p1P5/P5Q1/1b2PPK1/3r3P/8 b - - 4 47	12	d2e2	374746	374725	78692	21
8/5bk1/5p2/4pP2/3qP3/7P/4Q1P1/b6K w - - 0 57	12	h1h2	151410	151391	42389	28
2qR4/2P1k1p1/4p3/4b1p1/8/7P/p4RB1/7K w - - 4 51	12	d8c8	42061	42035	21858	52
4rrk1/pp6/4P2p/2pR4/2n2p2/2P5/P3NPPP/2K4R b - - 2 22	12	e8e6	88779	88761	58582	66
8/1p3pkp/5b2/2B3p1/p5P1/2P4P/PP1rrP2/1RR3K1 w - - 3 30	12	g1g2	185584	185563	12989	7
3r4/2R5/5p2/4p3/4Pk2/1p4NK/1P6/1q4r1 w - - 0 58	12	g3h5	2160346	2160306	1944275	90
3k4/1p5R/1pp5/3n4/2Nr4/P1br4/2R3KP/8 w - - 0 53	12	c2f2	155647	155619	56022	36
5rk1/2n2n1p/3r1p2/1pp1p1pP/4P3/2PP2P1/1P6/3RRBK1 b - - 1 32	12	f8a8	143767	143748	34499	24
2b1r1k1/5pp1/p1p5/1pb1pPP1/1PPrP3/P2B1R1P/4K3/2R5 w - - 0 45	12	b4c5	111233	111218	86750	78
3r4/2R5/5pk1/4p1p1/4P3/1p2B1N1/1P3PK1/1q1r4 w - - 2 55	12	e3g5	155363	155337	49707	32
r3r1k1/pR5p/2p2b2/7p/4BP2/2N4P/P1K1n3/7R w - - 2 30	12	e4h7	211049	211031	111846	53
1r2k2r/4npp1/1P3n2/p1Bp4/4pP2/2P3P1/P3B3/1R2R1K1 b - - 2 30	12	f6d7	160811	160792	30550	19
3r2rk/1p2bp2/p1bppp1p/5P1P/PP2P3/2NBR3/2P3P1/1K1R4 w - - 1 22	12	f5e6	250125	250107	20008	8
4k1n1/1NpN2r1/p1r2b2/1pBRp2p/4p1P1/P5P1/1P6/3R2K1 b - - 3 39	12	g7g5	168543	168528	52243	31
6k1/3Q1p2/3b2p1/7p/3p4/Pq1P2P1/1P2rP1P/5RK1 w - - 0 33	12	d7d6	136144	136130	102097	75
1q6/p2r1pk1/2R3pp/4p2P/6P1/2Q2B2/5PK1/8 b - - 0 40	12	g6h5	513001	512974	112854	22
7k/1Q5q/3bp1p1/P7/8/6rP/7K/R7 w - - 0 49	12	b7h7	103885	103861	70625	68
5rkr/5pp1/p2PR2p/Pp6/1Q6/1P1nP3/6PP/4BRK1 b - - 0 31	12	d3b4	48329	48307	40094	83
6k1/1p4p1/p1p1p1p1/4P3/P6q/5r2/R7/Q4KR1 w - - 2 45	12	f1e2	598882	598860	592871	99
8/1r3kp1/1p2p3/p2bPp1p/P2P1P2/2R1B3/1Q4PK/4q3 w - - 8 52	12	b2c1	183345	183327	58664	32
3r2k1/1p6/p3prpQ/P2P3n/2P1P3/3p1NR1/1P6/R5K1 w - - 0 35	12	h6h5	107981	107955	90682	84
r4rk1/p1pq1pb1/1p4p1/4p3/4P2p/2NPB1P1/PP3P1P/3RR1K1 w - - 0 21	12	c3d5	471162	471146	65960	14
4r1k1/3b1p2/2BB3p/2R2qp1/p7/P5QP/6PK/8 b - - 3 37	12	f5e6	186639	186606	156749	84
3r2k1/5ppp/4p3/4P3/5P2/4P3/1Qqr2PP/2B2RK1 w - - 6 30	12	b2c2	57041	57022	45047	79
7k/p1p3b1/1p5p/4n3/1P2Q3/P3NR2/3r1PK1/q7 w - - 5 37	12	e4a8	195725	195707	58712	30
r4k1r/1p3p1p/p3p2Q/q2p1p2/8/1P1B3P/P2N1PP1/R5K1 b - - 1 18	12	f8e7	598673	598649	395108	66
5rk1/Qb1q4/1R2pp1p/1p1p2pB/2pP4/2P1PP1P/1P1n2PB/6K1 b - - 5 27	12	b7c6	72580	72560	42810	59
5rk1/1p2bpp1/2q2n1p/p1p2P2/P1B5/1Q3PB1/1PP4P/1K1R4 b - - 1 23	12	b7b6	153721	153700	92220	60
8/5k2/1r3nR1/p1PpRB1p/5q2/5P2/1PQ3K1/8 b - - 0 43	12	b6c6	248256	248228	81915	33
3r2k1/pp4bp/8/6p1/3P1P2/7q/PRQ1r3/5RK1 w - - 0 33	12	c2b3	148961	148939	32766	22
2r3k1/1p5p/p3pp1P/3bb1p1/2q3Q1/P3B3/1PPR1RP1/1K6 w - - 3 38	12	g4c4	102979	102954	75156	73
4r1k1/2r2p1n/p2p4/3P2pp/q1pBP3/P4BPP/1P3P1K/2Q1R3 b - - 3 30	12	c7e7	215597	215580	144438	67
4r3/6pk/r6p/2p1P3/2R5/p3q2P/2Q3B1/1R5K b - - 0 40	12	h7h8	160180	160147	132922	83
2r3k1/pp3pbp/6q1/8/2r5/2N1Q2P/PK3PP1/R2R4 w - - 4 24	12	a1c1	176558	176539	84738	48
3r2k1/1pr1qp2/p2b4/3Rp3/P2pP3/1Q1P1BP1/1P4K1/4R3 b - - 2 40	12	d8c8	265820	265799	114293	43
r3r1k1/pp3pp1/2p1b1p1/q1P5/8/5N1P/PPQ2PP1/R4RK1 w - - 1 19	12	f1e1	161153	161133	95068	59
4r1k1/6p1/r6p/q1p5/p1n1P3/6PP/Q5B1/1R1R2K1 b - - 1 35	12	a5c3	170510	170482	69897	41
r2q1k1r/1p2pp1p/p7/3p1p2/3b4/1P1B1Q1P/P2N1PP1/R4RK1 b - - 1 15	12	d4a1	171780	171762	123668	72
2r1r1k1/2q2pp1/1p2n2p/p2Q4/7P/P3B3/1PNRPP2/4R1K1 b - - 0 24	12	e8d8	87144	87115	65336	75
r2qk2r/2p2ppp/p1nN4/1pp1p3/4P3/3PBQ1P/PPP2PP1/R4RK1 b kq - 0 12	12	c7d6	135175	135154	98662	73
r2q2k1/1p3r1p/2n1B1pQ/p1Pb4/P3N3/2B1PPP1/7P/3R3K b - - 14 35	12	d5e6	74318	74297	54979	74
rn1q1rk1/pp2ppbp/8/3p4/3p2Q1/1P2P2P/P1P2PP1/RN2KB1R w KQ - 2 11	12	e3d4	201464	201436	64459	32
3r1rk1/5q2/p4ppb/1p6/1PP5/P4N1P/2Qn1PB1/1R2R1K1 w - - 1 28	12	f3d2	107652	107634	30137	28
r1bq1rk1/pp4pp/4n3/2PpN3/4p3/2P1P2P/P1Q2PPB/R4RK1 b - - 0 18	12	e6c5	196675	196659	112095	57
5rk1/1b1r1pb1/2pp2pp/q7/2Q1P2P/P1NRB3/2P3P1/3R2K1 w - - 3 32	12	c4b4	171726	171712	54947	32
r1b1k2r/pp3p1p/2n1pp2/2Np4/8/2qBPN2/P1P2PPP/R2Q1RK1 b kq - 0 11	12	c3c5	235491	235475	202508	86
1rqkr2b/1p1P1p1Q/p6p/P3n2N/1P6/2B3R1/6B1/3R2K1 b - - 0 40	12	c8d7	194756	194728	107100	55
1r4k1/R1pq1pp1/3b1n2/3P3p/1n3B2/2Nb2P1/1P3PBP/3Q1RK1 w - - 3 21	12	f4d6	135291	135267	52754	39
r1b2q1k/pp6/2nbprQ1/3p4/3PP3/P1N2N2/1P3PPP/1K1R3R w - - 1 22	12	f3h4	399341	399322	235599	59
2rq1rk1/pp1bbp1p/5p2/8/1n1P4/4P1N1/PP1B2PP/R2QKB1R w KQ - 4 16	12	a1c1	163024	163000	76610	47
r1bq1rk1/ppp4p/2n1p3/3p1p2/2PPn1p1/PQ1BP3/1P1N1PPP/R1B2RK1 b - - 1 12	12	e4f6	474374	474360	203974	43
r1b1r1k1/1pqn3p/p2p2p1/2p1n3/P1P1P1P1/1P2B2P/2Q1N1B1/1K1R1R2 b - - 0 23	12	b7b5	113683	113664	69335	61
2r2rk1/ppq3bp/n1ppb3/8/N1PP1pp1/3BP3/PP1B2PP/RQ3RK1 w - - 2 20	12	e3f4	375625	375603	71364	19
3r1rk1/pp3pbp/1qn3p1/5b2/5N2/3PpNP1/PPQB2BP/R2R2K1 w - - 0 18	12	d2e3	279521	279500	33540	12
r4r1k/2qn2pp/2b3n1/pp2N2N/4P3/1Q4P1/1BB2P2/3R1RK1 b - - 0 28	12	g6e5	237006	236983	82944	35
1r3rk1/pppq1ppp/2n1bn2/4N3/4P3/P5P1/1PQN1PBP/R1B2RK1 b - - 0 15	12	c6e5	109347	109326	91833	84
r1bqr1k1/ppp2ppp/2nb4/3n4/3P4/1Q1BP3/PP1BNPPP/R3K2R w KQ - 0 11	12	b3d5	184795	184772	107167	58
r1bq1rk1/pp2bppp/n4n2/8/3Pp3/1QN1P3/PP1BN1PP/R3KB1R w KQ - 0 11	12	e2g3	164128	164108	91900	56
r3kb1r/pp1n1ppp/1qn3b1/1B6/8/1Q2PNN1/PP1B2PP/2R2RK1 b kq - 6 15	12	f8c5	177045	177025	49567	28
r2qk2r/pp1nbpp1/2p1p2p/3pPbn1/3P4/5NPP/PPP2PB1/R1BQRNK1 w kq - 3 12	12	c1g5	105902	105886	34942	33
r3r1k1/3n1ppp/1qb2n2/p1b1p3/2P1P3/1PB2N1P/2B1Q1P1/1N1R1R1K b - - 1 25	12	b6b8	295491	295470	65003	22
