# S097 verdict 2 candidates for the mate row that separates
# E21_multicut_mate_band_gate_dropped.
# Regenerate: adocs/data/S097_mine_mate_row.py candidates /
# fires / sweep / pick.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	depths_found
1r6/5pk1/p2pp1p1/Q2B2n1/8/2P1P1q1/1PR3Pr/R5K1 b - - 4 31	3	4987	g3e3 c2f2 b8h8 d5a8 h2h1	Qxe3+ Rf2 Rbh8 Ba8 Rh1#	
2r4k/3R1Q2/7p/p1p3p1/4P3/P3N1PP/1q3PK1/5b2 w - - 1 39	3	2369	e3f1 b2f2 g2f2 a5a4 f7g7	Nxf1 Qxf2+ Kxf2 a4 Qg7#	
3k3r/6R1/3K4/3B4/3N4/pp6/8/8 w - - 0 62	3	6204	g7d7 d8c8 d5b7 c8b8 d4c6	Rd7+ Kc8 Bb7+ Kb8 Nc6#	
3r2k1/1bp4p/1p4rQ/p2pNp2/3P4/PqP3R1/1P3PPP/4R1K1 w - - 1 32	3	2921	g3g6 h7g6 h6g6 g8h8 e5f7	Rxg6+ hxg6 Qxg6+ Kh8 Nf7#	
3r2k1/p3Q1p1/2p1p1rp/8/3P1P2/5P2/PP1K3P/R2R2q1 b - - 8 31	3	2918	g1d4 d2e2 g6g2 e2f1 d4g1	Qxd4+ Ke2 Rg2+ Kf1 Qg1#	
4Q3/1R4pk/4Pp1p/8/8/2B3P1/r4b1P/5K2 w - - 1 45	3	3514	b7g7 h7g7 e8f7 g7h8 c3f6	Rxg7+ Kxg7 Qf7+ Kh8 Bxf6#	
4r2k/1p4rp/p1p3q1/P3b3/4p3/1QPnB2P/1P2n1B1/R5RK b - - 1 31	3	11741	g6g3 b3g8 g7g8 g1b1 g3g2	Qg3 Qg8+ Rgxg8 Rgb1 Qxg2#	
5K2/5P1B/3k4/8/1p6/5P2/8/q7 b - - 1 59	3	89672	a1h8 h7g8 d6d7 f3f4 h8h6	Qh8+ Bg8 Kd7 f4 Qh6#	
5b1r/pp2pppp/k4n2/2Q5/q7/4B2P/PPP2PP1/3R2K1 w - - 1 20	3	3151	c5a7 a6b5 a7b6 b5c4 d1d4	Qxa7+ Kb5 Qb6+ Kc4 Rd4#	
5k2/R4ppQ/5b1p/1pp5/5p2/2PB3P/5PP1/4r1K1 w - - 1 35	3	1477	g1h2 e1h1 h2h1 c5c4 h7h8	Kh2 Rh1+ Kxh1 c4 Qh8#	
