# S097 verdict 2 candidates for the mate row that separates
# E21_multicut_mate_band_gate_dropped.
# Regenerate: adocs/data/S097_mine_mate_row.py candidates /
# fires / sweep / pick.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	depths_found
r7/3p2kp/4p1p1/2p5/p1N1PQ2/P7/B1P3K1/5R2 w - - 0 34	4	21002	f4f7 g7h8 f1h1 h7h5 f7g6 a8g8 h1h5	Qf7+ Kh8 Rh1 h5 Qxg6 Rg8 Rxh5#	
r7/pp4k1/5rp1/1nPp1Q1R/8/1P6/2P2P2/2K3R1 w - - 0 33	4	6336	h5h7 g7h7 f5f6 g6g5 f6f7 h7h8 g1h1	Rh7+ Kxh7 Qxf6 g5 Qf7+ Kh8 Rh1#	
rn3r2/pp4k1/2p5/7Q/8/7P/P1qN1P2/4R1K1 w - - 0 27	4	7912	e1e7 f8f7 h5f7 g7h6 e7e6 h6g5 d2f3	Re7+ Rf7 Qxf7+ Kh6 Re6+ Kg5 Nf3#	
rn4k1/p4q2/2p1B3/1pbp1p2/7R/2N3P1/PPP1Q2P/7K w - - 0 25	4	16373	e2e5 f7e6 e5h8 g8f7 h4h7 f7g6 h8g7	Qe5 Qxe6 Qh8+ Kf7 Rh7+ Kg6 Qg7#	
rqb2k2/1pr5/4p1Q1/1P2N1pp/2R2n2/P3P3/KB5P/5R2 w - - 10 34	5	34714	c4f4 g5f4 f1f4 f8e7 g6g5 e7d6 f4d4 d6c5 e5d7	Rcxf4+ gxf4 Rxf4+ Ke7 Qg5+ Kd6 Rd4+ Kc5 Nd7#	
1R6/5k2/4p2p/1p2P3/1P3np1/3r1P2/1P3P1P/4K3 b - - 0 41	5	6830	g4f3 b8b7 f7g6 b7g7 g6g7 h2h3 f4g2 e1f1 d3d1	gxf3 Rb7+ Kg6 Rg7+ Kxg7 h3 Ng2+ Kf1 Rd1#	
1r3k2/3Q4/p2N1p2/2pqp3/2P4P/1P4PK/8/1R6 w - - 0 52	5	12659	c4d5 f8g8 d6f5 b8b7 d7b7 g8f8 b7g7 f8e8 g7e7	cxd5 Kg8 Nf5 Rb7 Qxb7 Kf8 Qg7+ Ke8 Qe7#	
1r5k/2p3pp/3pQ3/1P1P4/2q5/4K3/r4P1P/3R1R2 b - - 7 36	5	13313	a2a3 e3d2 a3d3 d2e1 c4c3 e1e2 c3c2 e2e1 c2d1	Ra3+ Kd2 Rd3+ Ke1 Qc3+ Ke2 Qc2+ Ke1 Qxd1#	
1rr3k1/5p1Q/p7/q2ppbPp/3P4/P3RP2/2P4P/2K3NR b - - 0 25	5	14901	f5h7 g5g6 h7g6 e3e4 a5e1 e4e1 c8c2 c1d1 b8b1	Bxh7 g6 Bxg6 Re4 Qe1+ Rxe1 Rxc2+ Kd1 Rb1#	
2Q5/1p3k2/p3pp2/3p4/6r1/1N3NP1/PP2qnKP/2R5 w - - 1 35	5	9063	c1c7 f7g6 c8g8 g6f5 b3d4 g4d4 g8h7 f5g4 h7g6	Rc7+ Kg6 Qg8+ Kf5 Nbd4+ Rxd4 Qh7+ Kg4 Qg6#	
2b3k1/r2R4/p3p1B1/1p2p3/1Pq2p1b/P1P4Q/5PPP/3R2K1 w - - 3 42	5	55106	h3h4 a7d7 d1d7 c4f1 g1f1 c8d7 h4h7 g8f8 h7f7	Qxh4 Rxd7 Rxd7 Qf1+ Kxf1 Bxd7 Qh7+ Kf8 Qf7#	
2b3nQ/5kP1/p1p1p3/2bpB3/4p1p1/1P6/2P2PP1/1K1R4 w - - 0 27	5	1540187	h8g8 f7g8 d1h1 c5f2 h1h8 g8f7 g7g8r f7e7 g8g7	Qxg8+ Kxg8 Rh1 Bxf2 Rh8+ Kf7 g8=R Ke7 Rg7#	
2b5/4k2P/2Bp1r2/Q3p3/ppp4q/P1P5/1P4P1/3R2K1 w - - 2 55	5	6832	a5c7 c8d7 c7d7 e7f8 d7e8 f8g7 e8g8 g7h6 h7h8q	Qc7+ Bd7 Qxd7+ Kf8 Qe8+ Kg7 Qg8+ Kh6 h8=Q#	
2r4k/1p5B/p3pQ1p/P2pb3/1P3q1P/5P2/4bP2/1N4K1 b - - 1 26	5	8538	f4f6 b1d2 f6g7 h7g6 g7g6 g1h1 c8c1 d2f1 c1f1	Qxf6 Nd2 Qg7+ Bg6 Qxg6+ Kh1 Rc1+ Nf1 Rxf1#	
2r5/1p3R2/p5pk/3PQ3/1P5K/P7/6q1/8 b - - 0 65	5	6863	c8c4 f7f4 g6g5 e5g5 g2g5 h4h3 c4f4 b4b5 f4h4	Rc4+ Rf4 g5+ Qxg5+ Qxg5+ Kh3 Rxf4 b5 Rh4#	
3R4/1p3k2/pB6/6p1/2PK4/2R5/P5qP/4r3 b - - 9 45	5	16672	g2f2 d4d5 e1d1 c3d3 d1d3 d5e4 f2f3 e4e5 f3f4	Qf2+ Kd5 Rd1+ Rd3 Rxd3+ Ke4 Qf3+ Ke5 Qf4#	
3R4/8/7p/6k1/3PP1P1/2r5/4K3/r7 b - - 14 62	5	11451	a1a2 e2d1 c3h3 d8d5 g5g4 d5f5 h3h1 f5f1 h1f1	Ra2+ Kd1 Rh3 Rd5+ Kxg4 Rf5 Rh1+ Rf1 Rxf1#	
3krb1r/Np2pppp/3q1n2/8/Q4Bb1/2P3P1/P3NPBP/3RR1K1 w - - 3 18	5	17073	a4a5 d8d7 a5b5 d7d8 b5b6 d8d7 b6b7 d7e6 e2d4	Qa5+ Kd7 Qb5+ Kd8 Qb6+ Kd7 Qxb7+ Ke6 Nd4#	
4N3/8/3P1ppk/4p2p/4P2P/1n1P2P1/Q4PK1/3q4 w - - 5 46	5	7918	a2a7 d1f3 g2g1 f3d1 g1h2 d1h1 h2h1 g6g5 a7g7	Qa7 Qf3+ Kg1 Qd1+ Kh2 Qh1+ Kxh1 g5 Qg7#	
4bq2/7k/4P1p1/p5Q1/P1pB1P1p/7P/6P1/6K1 w - - 3 46	5	4930	g5h4 f8h6 h4e7 h7g8 e7e8 h6f8 e8g6 f8g7 g6g7	Qxh4+ Qh6 Qe7+ Kg8 Qxe8+ Qf8 Qxg6+ Qg7 Qxg7#	
4k3/pp3qb1/2p5/2Q1p3/1P6/P1PrBb1p/6RP/6K1 b - - 1 37	5	10902	f3g2 c5e7 f7e7 g1f2 e7f6 e3f4 f6f4 f2e1 f4f1	Bxg2 Qe7+ Qxe7 Kf2 Qf6+ Bf4 Qxf4+ Ke1 Qf1#	
5Q2/7p/1R3pk1/6p1/2p1P1P1/K1P3b1/5r2/6n1 w - - 21 63	5	7837	f8e8 g6h6 e8h5 h6g7 b6b7 g3c7 b7c7 g7f8 h5f7	Qe8+ Kh6 Qh5+ Kg7 Rb7+ Bc7 Rxc7+ Kf8 Qf7#	
5Qk1/6r1/p2p1p2/3PpP2/4B2P/5P1P/3r1q2/1R5K b - - 0 63	6	3866	g8f8 b1b8 f8f7 b8b7 f7g8 b7b8 g8h7 b8h8 h7h8 f3f4 d2d1	Kxf8 Rb8+ Kf7 Rb7+ Kg8 Rb8+ Kh7 Rh8+ Kxh8 f4 Rd1#	
5k2/3R3p/p7/5N1R/1P2K3/5r1P/5r2/8 w - - 7 49	5	8071	d7d8 f8f7 h5h7 f7f6 d8f8 f6g5 h7g7 g5h5 f8h8	Rd8+ Kf7 Rxh7+ Kf6 Rf8+ Kg5 Rg7+ Kh5 Rh8#	
5k2/4R1R1/p7/2n4p/3B4/7P/2n2P1K/4r3 w - - 5 47	5	6736	e7f7 f8e8 d4c5 e1e7 f7e7 e8f8 e7f7 f8e8 f7f8	Ref7+ Ke8 Bxc5 Re7 Rxe7+ Kf8 Ref7+ Ke8 Rf8#	
5r1k/8/pQ6/1p2R1B1/6P1/2P4P/1P3P1K/1q6 w - - 1 39	5	7872	g5f6 h8g8 e5g5 g8h7 b6c7 f8f7 c7f7 h7h6 f7g7	Bf6+ Kg8 Rg5+ Kh7 Qc7+ Rf7 Qxf7+ Kh6 Qg7#	
5r2/2Q3k1/3p2p1/7p/p6P/P1P2q1b/5B1K/8 b - - 0 44	5	6947	g7g8 c7c4 d6d5 c4d5 f3d5 h2h3 f8f2 c3c4 d5g2	Kg8 Qc4+ d5 Qxd5+ Qxd5 Kxh3 Rxf2 c4 Qg2#	
6k1/3R4/P6p/5pp1/3p2P1/3K1P2/8/4b3 w - - 3 48	5	23241	a6a7 e1b4 a7a8q b4f8 a8e8 f5g4 e8f7 g8h8 f7f8	a7 Bb4 a8=Q+ Bf8 Qe8 fxg4 Qf7+ Kh8 Qxf8#	
6k1/3r2b1/4p3/2P5/2P5/P5KP/3p1PP1/8 b - - 1 39	6	27060	d2d1q h3h4 g7e5 f2f4 d7d3 g3h2 e5d4 g2g3 d1g1 h2h3 g1g3	d1=Q h4 Be5+ f4 Rd3+ Kh2 Bd4 g3 Qg1+ Kh3 Qxg3#	
6k1/4rp2/8/p1Q3K1/7P/8/8/8 w - - 7 53	5	14025	c5e7 g8g7 h4h5 a5a4 h5h6 g7g8 e7f6 g8f8 f6d8	Qxe7 Kg7 h5 a4 h6+ Kg8 Qf6 Kf8 Qd8#	
6k1/p6r/Q1p1q1p1/2P5/P2pN3/3PbKP1/8/4R3 b - - 6 40	5	9438	e6f5 f3g2 f5h3 g2f3 h7f7 e4f6 f7f6 f3e4 h3f5	Qf5+ Kg2 Qh3+ Kf3 Rf7+ Nf6+ Rxf6+ Ke4 Qf5#	
6r1/2RR2pk/5P1p/p3N3/8/4b1PK/7r/8 w - - 0 41	5	5103	h3h2 e3g1 h2g2 h7h8 e5g6 h8h7 d7g7 g8g7 c7g7	Kxh2 Bg1+ Kg2 Kh8 Ng6+ Kh7 Rxg7+ Rxg7 Rxg7#	
6rk/5rqp/p7/2P1p3/P3Q3/7n/1P4P1/R2R3K b - - 1 32	5	9026	h3f2 h1g1 f2e4 d1d2 e4d2 g2g3 g7g3 g1h1 g3g2	Nf2+ Kg1 Nxe4 Rd2 Nxd2 g3 Qxg3+ Kh1 Qg2#	
7k/5R2/6K1/3R3p/6r1/8/8/8 w - - 3 86	5	8638	g6h6 h8g8 f7a7 g4f4 d5d8 f4f8 a7g7 g8h8 d8f8	Kh6 Kg8 Ra7 Rf4 Rd8+ Rf8 Rg7+ Kh8 Rxf8#	
7k/pR3K1p/6p1/4bp1r/5P2/1B4P1/8/8 w - - 6 54	5	12010	b7e7 h7h6 f7g6 h5g5 f4g5 e5g7 e7e8 g7f8 e8f8	Re7 h6 Kxg6 Rg5+ fxg5 Bg7 Re8+ Bf8 Rxf8#	
8/1p3Q1p/4Np2/8/Pbp1P2k/8/K7/5q2 b - - 15 54	5	10898	f1e2 a2b1 e2d1 b1b2 b4a3 b2a2 d1c2 a2a3 c2b3	Qe2+ Kb1 Qd1+ Kb2 Ba3+ Ka2 Qc2+ Kxa3 Qb3#	
8/1pp2R1P/p5k1/6N1/5P2/7K/3n2P1/7r w - - 1 53	5	3622	h3g4 h1h4 g4h4 d2f3 g2f3 c7c6 f4f5 g6h6 h7h8q	Kg4 Rh4+ Kxh4 Nf3+ gxf3 c6 f5+ Kh6 h8=Q#	
8/2P3pk/4Bp1p/p1K5/1p6/5P2/7P/8 w - - 0 50	5	914948	e6f7 b4b3 c7c8q h6h5 c8f5 g7g6 f5g6 h7h8 g6g8	Bf7 b3 c8=Q h5 Qf5+ g6 Qxg6+ Kh8 Qg8#	
8/2Q5/6kp/2pP1bp1/2P2P2/3p3P/5PK1/4q3 b - - 2 38	5	109937	f5e4 f2f3 e1e2 g2g1 e2e3 g1g2 e3f3 g2h2 f3f2	Be4+ f3 Qe2+ Kg1 Qe3+ Kg2 Qxf3+ Kh2 Qf2#	
8/2k2P2/2b5/p2p4/1p3K2/8/P5Q1/8 w - - 0 52	5	69346	f7f8q c7b7 f8c5 a5a4 g2g7 b7b8 c5b6 b8c8 g7c7	f8=Q Kb7 Qc5 a4 Qg7+ Kb8 Qb6+ Kc8 Qgc7#	
8/5Qk1/p2p4/2pP2q1/2P5/p4p2/6N1/1r2R1K1 b - - 0 61	5	10260	g7f7 g1f2 g5g2 f2e3 b1e1 e3f4 f3f2 f4f5 f2f1q	Kxf7 Kf2 Qxg2+ Ke3 Rxe1+ Kf4 f2 Kf5 f1=Q#	
8/5p1k/3R2p1/pP6/r1q5/4K3/8/8 b - - 1 57	6	26884	c4c3 d6d3 c3e1 e3f3 e1e4 f3g3 e4d3 g3h2 a4a2 h2g1 d3d1	Qc3+ Rd3 Qe1+ Kf3 Qe4+ Kg3 Qxd3+ Kh2 Ra2+ Kg1 Qd1#	
Q7/5pk1/4N3/1p2P1pp/1P1P3b/7K/5q1P/8 b - - 0 42	5	4627	f7e6 a8b7 g7h6 b7e4 f2f1 e4g2 f1f5 g2g4 f5g4	fxe6 Qb7+ Kh6 Qe4 Qf1+ Qg2 Qf5+ Qg4 Qxg4#	
R2Q1bk1/5q2/4bP1p/2p1P3/3pB3/7P/2P3PK/8 w - - 3 50	6	29464	e4g6 e6d7 g6f7 g8f7 d8d7 f7g6 a8f8 h6h5 f8g8 g6h6 d7g7	Bg6 Bd7 Bxf7+ Kxf7 Qxd7+ Kg6 Rxf8 h5 Rg8+ Kh6 Qg7#	
r1b5/1p3kpp/8/p1PPBpQ1/1n6/6q1/P4RBP/4R1K1 w - - 0 28	5	19091	h2g3 c8e6 g5g7 f7e8 d5e6 a8c8 g7d7 e8f8 d7f7	hxg3 Be6 Qxg7+ Ke8 dxe6 Rc8 Qd7+ Kf8 Qf7#	
r1k3r1/pR3p2/Bp6/4q3/7Q/P5P1/1P4KP/8 w - - 4 36	6	18444	b7f7 c8b8 f7b7 b8c8 h4h3 g8g4 h3g4 e5e6 g4e6 c8d8 e6d7	Rxf7+ Kb8 Rb7+ Kc8 Qh3+ Rg4 Qxg4+ Qe6 Qxe6+ Kd8 Qd7#	
r3bk2/1p4pQ/2p1p2p/2q1P3/2p3P1/8/2B3KP/3RR3 w - - 6 33	5	12106	e1f1 c5f2 f1f2 e8f7 h7h8 f8e7 f2f7 e7f7 d1d7	Rf1+ Qf2+ Rxf2+ Bf7 Qh8+ Ke7 Rxf7+ Kxf7 Rd7#	
r4rk1/pq2b3/4p2Q/2n1p2P/1pP5/4B3/PP6/2KR3R w - - 4 28	5	8896	h1g1 b7g2 g1g2 e7g5 g2g5 g8f7 h6g6 f7e7 e3c5	Rhg1+ Qg2 Rxg2+ Bg5 Rxg5+ Kf7 Qg6+ Ke7 Bxc5#	
r6k/3b1pqp/p2p1p2/2pP1P2/4P2Q/P1P3RP/2P4K/R7 w - - 3 36	6	10094	g3g7 h8g7 a1g1 g7f8 h4f6 a8e8 f6d6 e8e7 d6h6 f8e8 g1g8	Rxg7 Kxg7 Rg1+ Kf8 Qxf6 Re8 Qxd6+ Re7 Qh6+ Ke8 Rg8#	
r7/p5Rk/2p1p2p/2B1PP2/3P3n/P1P4q/1r3P2/2RQ2K1 b - - 0 35	5	8320	h7g7 c5f8 g7h7 d1g4 h3g4 g1f1 g4g2 f1e1 g2h1	Kxg7 Bf8+ Kh7 Qg4 Qxg4+ Kf1 Qg2+ Ke1 Qh1#	
1Q6/8/P3R3/8/k7/6K1/r7/3q4 w - - 2 74	6	15000	e6e4 a4a5 b8b4 a5a6 e4e6 a6a7 b4b6 a7a8 e6e8 d1d8 e8d8	Re4+ Ka5 Qb4+ Kxa6 Re6+ Ka7 Qb6+ Ka8 Re8+ Qd8 Rxd8#	
1k2r3/pp6/2pP2p1/2Q5/4PPK1/P3B2r/4R3/3R3q b - - 6 36	6	5496741	h1f3 g4g5 f3h5 g5f6 h5h8 f6g6 h8h7 g6g5 h7g7 g5f5 h3h5	Qf3+ Kg5 Qh5+ Kf6 Qh8+ Kxg6 Qh7+ Kg5 Qg7+ Kf5 Rh5#	
1k6/8/2K5/6R1/1P6/8/8/5b2 w - - 1 72	6	832175	g5g8 b8a7 c6c7 f1c4 g8g5 c4e2 g5a5 e2a6 b4b5 a7a8 a5a6	Rg8+ Ka7 Kc7 Bc4 Rg5 Be2 Ra5+ Ba6 b5 Ka8 Rxa6#	
1n3rk1/1QN4p/2p5/1pP1P3/8/P3q2P/8/1R5K b - - 1 38	6	19730	e3e4 h1g1 e4b1 g1h2 f8f2 h2g3 b1g1 g3h4 f2f4 h4h5 g1g6	Qe4+ Kg1 Qxb1+ Kh2 Rf2+ Kg3 Qg1+ Kh4 Rf4+ Kh5 Qg6#	
1q1k1r2/4p2p/p3p2b/6p1/3P4/4PB2/PPr5/R1B1K1R1 b - - 1 31	6	38652	f8f3 g1g2 c2g2 c1d2 b8h2 d2a5 d8e8 e1d1 g2c2 a5e1 h2e2	Rxf3 Rg2 Rxg2 Bd2 Qh2 Ba5+ Ke8 Kd1 Rc2 Be1 Qe2#	
1r1rN1k1/3R1p1p/5Qp1/2p1P3/P4P2/2p3nP/5qP1/5RK1 w - - 6 33	6	7260	f1f2 b8b1 g1h2 b1h1 h2g3 h1h3 g3h3 d8e8 f6f7 g8h8 f7e8	Rxf2 Rb1+ Kh2 Rh1+ Kxg3 Rxh3+ Kxh3 Rxe8 Qxf7+ Kh8 Qxe8#	
2kr4/Qp1rR3/p5p1/P7/4P2p/3PB2P/1P4PK/3q4 w - - 7 42	6	8169	a7c5 c8b8 e7d7 d1g1 e3g1 d8d7 c5f8 b8c7 g1b6 c7c6 f8c5	Qc5+ Kb8 Rxd7 Qg1+ Bxg1 Rxd7 Qf8+ Kc7 Bb6+ Kc6 Qc5#	
2r2rk1/pp5p/3p2p1/3P2P1/5p2/P1b2P2/1qN1K2Q/3R3R b - - 1 28	6	7542	b2c2 d1d2 c2d2 e2f1 d2e1 f1g2 e1e2 g2g1 c3d4 h2f2 e2f2	Qxc2+ Rd2 Qxd2+ Kf1 Qe1+ Kg2 Qe2+ Kg1 Bd4+ Qf2 Qxf2#	
2r3k1/1b1p1p2/3PpPp1/4P2p/P4B2/1P5P/4q1P1/6QK b - - 0 48	6	59945	c8c2 f4d2 c2d2 h1h2 e2f3 a4a5 d2g2 h2h1 g2g1 h1g1 f3g2	Rc2 Bd2 Rxd2 Kh2 Qf3 a5 Rxg2+ Kh1 Rxg1+ Kxg1 Qg2#	
2r4r/kq3pb1/N3p1p1/QPp1Pn1p/2PPRP2/7P/5BP1/R5K1 w - - 1 31	6	70199	a6c5 a7b8 c5b7 c8c4 a5b6 b8c8 b7d6 f5d6 a1a8 c8d7 b6d6	Nxc5+ Kb8 Nxb7 Rxc4 Qb6 Kc8 Nd6+ Nxd6 Ra8+ Kd7 Qxd6#	
3RR1nk/6b1/6p1/p5Np/P4P2/7P/8/1r1K4 w - - 11 46	6	6404	d1c2 b1c1 c2c1 g7b2 c1b2 h8g7 d8d7 g8e7 d7e7 g7f6 e7f7	Kc2 Rc1+ Kxc1 Bb2+ Kxb2 Kg7 Rd7+ Ne7 Rdxe7+ Kf6 Rf7#	
4Q3/p7/2p2p2/P3n2k/7P/2P3P1/5q2/7K b - - 4 42	6	20307	h5g4 e8e6 g4g3 e6g8 e5g4 g8g4 g3g4 h4h5 g4g3 c3c4 f2f1	Kg4 Qe6+ Kxg3 Qg8+ Ng4 Qxg4+ Kxg4 h5 Kg3 c4 Qf1#	
4r1B1/7k/2b3p1/6Bp/3p1b1P/P1P4q/5Q2/1R4K1 b - - 3 36	6	17277	h7g8 f2a2 g8g7 b1b7 c6b7 g5h6 f4h6 a2g8 g7g8 c3d4 h3g2	Kxg8 Qa2+ Kg7 Rb7+ Bxb7 Bh6+ Bxh6 Qg8+ Kxg8 cxd4 Qg2#	
4rk2/1R6/6PP/2pR4/3n4/1p4K1/8/8 w - - 3 73	6	9217	h6h7 e8e3 g3g4 e3e4 g4h5 e4h4 h5h4 d4f3 h4g3 f3d2 h7h8q	h7 Re3+ Kg4 Re4+ Kh5 Rh4+ Kxh4 Nf3+ Kg3 Nd2 h8=Q#	
5R2/2p2R1p/7k/n7/8/1p1B4/3q2PP/7K w - - 6 42	6	12684	f7h7 h6g5 h2h4 g5g4 h7g7 d2g5 g7g5 g4h4 g5g7 b3b2 f8h8	Rxh7+ Kg5 h4+ Kg4 Rg7+ Qg5 Rxg5+ Kxh4 Rg7 b2 Rh8#	
5qr1/7k/4R2b/p3QppP/1nP5/1PB2NP1/6K1/8 w - - 1 36	6	27798	e6f6 f8e8 e5f5 g8g6 f6f7 e8f7 f5f7 g6g7 f3g5 h7h8 f7e8	Rf6 Qe8 Qxf5+ Rg6 Rf7+ Qxf7 Qxf7+ Rg7 Nxg5+ Kh8 Qe8#	
5r2/1R6/p2p4/P1pPk2p/B1P1p1pP/8/1P2r3/6K1 b - - 0 58	6	9256	e4e3 b7e7 e5d4 e7e4 d4e4 a4c2 e2c2 b2b4 e3e2 b4c5 e2e1q	e3 Re7+ Kd4 Re4+ Kxe4 Bc2+ Rxc2 b4 e2 bxc5 e1=Q#	
7k/5p1p/p2p1N2/2p2P2/4P3/1r3n1P/3K2R1/6R1 w - - 2 42	6	8285	d2c1 b3c3 c1b2 f3g5 g2g5 c3b3 b2b3 c5c4 b3c3 a6a5 g5g8	Kc1 Rc3+ Kb2 Ng5 Rxg5 Rb3+ Kxb3 c4+ Kc3 a5 Rg8#	
8/2N1Pkp1/1p1P3p/2p2p2/5p2/1P3P2/6PP/b4K2 w - - 3 41	6	13161	e7e8q f7f6 h2h4 g7g5 d6d7 f6g7 d7d8q h6h5 d8g5 g7h7 e8h5	e8=Q+ Kf6 h4 g5 d7 Kg7 d8=Q h5 Qxg5+ Kh7 Qexh5#	
8/2r2qkp/4QNp1/3P4/8/7P/1p4PK/4r3 b - - 1 45	6	27327	e1e6 d5d6 f7f6 h2g3 c7c3 g3h2 f6f4 g2g3 f4g3 h2h1 b2b1q	Rxe6 d6 Qxf6 Kg3 Rc3+ Kh2 Qf4+ g3 Qxg3+ Kh1 b1=Q#	
8/6qk/4Q3/r2B1p2/p6p/P7/3p1P1P/4R2K w - - 0 34	6	10469	e6f5 g7g6 e1e7 h7h6 f5f4 g6g5 f4f8 h6h5 e7h7 h5g4 f8f3	Qxf5+ Qg6 Re7+ Kh6 Qf4+ Qg5 Qf8+ Kh5 Rh7+ Kg4 Qf3#	
8/pQ3b2/2p2k2/2N1b3/2n5/P5P1/3q2BK/8 b - - 6 44	6	29398	f7d5 b7g7 f6g7 c5e6 g7g6 e6f4 e5f4 h2h3 d2g2 h3h4 g2g3	Bd5 Qg7+ Kxg7 Ne6+ Kg6 Nf4+ Bxf4 Kh3 Qxg2+ Kh4 Qxg3#	
r5rk/1pp4p/5b1q/3P1pN1/8/PQ2P2b/1PBN4/R5K1 b - - 0 31	6	71151	h6g5 g1f2 g5g2 f2e1 h3g4 d2f3 g4f3 b3c4 f6h4 c4h4 g2e2	Qxg5+ Kf2 Qg2+ Ke1 Bg4 Nf3 Bxf3 Qc4 Bh4+ Qxh4 Qe2#	
1krbrb2/2p1p1p1/K1P1P1P1/8/8/2Q5/8/8 w - - 0 1	2	773	c3b4 b8a8 b4b7	Qb4+ Ka8 Qb7#	
1r6/7K/4k3/8/8/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1	2	736	e6f6 h7h6 b8h8	Kf6 Kh6 Rh8#	
2brbr1k/1p1p1p2/1P1P1P2/8/5K2/8/8/Q7 w - - 0 1	2	1279	a1g1 h8h7 g1g7	Qg1 Kh7 Qg7#	
2brbr2/1p1p1p2/1P1P1P2/8/2Q5/5K1k/8/8 w - - 0 1	2	976	c4g4 h3h2 g4g2	Qg4+ Kh2 Qg2#	
2k1brbr/3p1p1p/3P1P1P/8/8/8/5QK1/8 w - - 0 1	2	814	f2a7 c8d8 a7c7	Qa7 Kd8 Qc7#	
2k5/8/8/8/3q4/2p1p1p1/2P1P1P1/2RBRBK1 b - - 0 1	2	860	d4h4 c1a1 h4h2	Qh4 Ra1 Qh2#	
2rbrbk1/2p1p1p1/2P1P1P1/8/2Q5/8/8/2K5 w - - 0 1	2	779	c4h4 c8a8 h4h7	Qh4 Ra8 Qh7#	
3k4/8/K7/5q2/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	2	842	d8c7 a6a7 f5a5	Kc7 Ka7 Qa5#	
4K3/8/8/4k3/5q2/p1p1p3/P1P1P3/RBRB4 b - - 0 1	2	2275	e5d6 e8d8 f4f8	Kd6 Kd8 Qf8#	
4brbr/3p1p1p/3P1P1P/8/8/8/2Q1K3/6k1 w - - 0 1	2	994	e2f3 g1f1 c2f2	Kf3 Kf1 Qf2#	
4brbr/p2p1p1p/P2P1P1P/2R5/8/8/4K3/7k w - - 0 1	2	809	e2f2 h1h2 c5h5	Kf2 Kh2 Rh5#	
4brbr/p2p1p1p/P2P1P1P/6R1/8/K7/8/1k6 w - - 0 1	2	2045	g5c5 b1a1 c5c1	Rc5 Ka1 Rc1#	
4k3/8/3q4/8/8/1p1p1p2/1P1P1P2/2BRBR1K b - - 0 1	2	968	d6g6 f1g1 g6h6	Qg6 Rg1 Qh6#	
7q/8/5k2/8/8/3p1p1p/3P1P1P/3KBRBR b - - 0 1	2	839	h8a8 d1c1 a8a1	Qa8 Kc1 Qa1#	
8/3k4/8/7q/8/1p1p1p2/1P1P1P2/1KBRBR2 b - - 0 1	2	843	h5a5 f1g1 a5a2	Qa5 Rg1 Qa2#	
8/4k3/1r6/8/8/p1p1p2p/P1P1P2P/RBRB2K1 b - - 0 1	2	884	b6f6 g1h1 f6f1	Rf6 Kh1 Rf1#	
8/7r/1k6/8/8/p2p1p1p/P2P1P1P/1K2BRBR b - - 0 1	2	680	h7c7 b1a1 c7c1	Rc7 Ka1 Rc1#	
8/8/2n5/8/8/p1np1p1p/P2P1P1P/K1k1BRBR b - - 0 1	2	558	c6b4 d2c3 b4c2	Nb4 dxc3 Nc2#	
8/8/3n4/8/8/pn1p1p1p/P2P1P1P/1k1KBRBR b - - 0 1	2	464	d6c4 a2b3 c4b2	Nc4 axb3 Nb2#	
8/8/8/3r4/6k1/p2p1p1p/P2P1P1P/1K2BRBR b - - 0 1	2	617	d5c5 b1a1 c5c1	Rc5 Ka1 Rc1#	
8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1	2	1386	e5d4 f1e1 g4g1	Kd4 Ke1 Qg1#	
8/8/8/7q/8/2p1p1p1/2P1PkP1/K1RBRB2 b - - 0 1	2	1841	h5b5 a1a2 b5b2	Qb5 Ka2 Qb2#	
rbrb1K2/p1p1p3/P1P1P2k/Q7/8/8/8/8 w - - 0 1	2	921	f8f7 h6h7 a5h5	Kf7 Kh7 Qh5#	
rbrb1k2/p1p1p1Rp/P1P1P2P/8/8/2K5/8/8 w - - 0 1	2	954	g7g5 f8e8 g5g8	Rg5 Ke8 Rg8#	
rbrb4/p1p1p2p/P1P1P2P/2K5/8/k7/2R5/8 w - - 0 1	2	555	c5c4 a3a4 c2a2	Kc4 Ka4 Ra2#	
rbrb4/p1p1p3/P1P1P3/k7/2K5/7Q/8/8 w - - 0 1	2	1451	h3b3 a5a6 b3b5	Qb3 Kxa6 Qb5#	
1krbrb1Q/2p1p1p1/2P1P1P1/2K5/8/8/8/8 w - - 0 1	3	2477	h8h4 b8a8 h4b4 a8a7 b4b7	Qh4 Ka8 Qb4 Ka7 Qb7#	
1krbrb1Q/2p1p1p1/K1P1P1P1/8/8/8/8/8 w - - 0 1	3	1396	h8h5 b8a8 h5c5 c8b8 c5a7	Qh5 Ka8 Qc5 Rb8 Qa7#	
3kbrbr/p2p1p1p/P2P1P1P/8/8/8/8/2KR4 w - - 0 1	3	1144	d1d3 d8c8 d3b3 c8d8 b3b8	Rd3 Kc8 Rb3 Kd8 Rb8#	
