# S095 candidates for the mate row tests/test_search.cpp "pruning does not
# hide a forced mate" gains: the labelled mates whose oracle line carries a
# quiet, non-checking, non-promotion move of the mating side -- the only class
# late move reduction can touch. 297 labelled mates from this project's own
# positions in, 141 out. Regenerate: adocs/data/S095_mine_mate_row.py
# candidates, then S230_mine_r01_row.py depths on the shipped tree and again
# with the site's guard opened, then S095_mine_mate_row.py pick.
# distance, pv and nodes are stockfish through python-chess, one fresh
# process per position at depth 20; nothing here is copied from it (DEC-016).
fen	mate_in	nodes	pv_uci	pv_san	quiets_on_line
R1q2Q2/1p4pk/1p2p1p1/1n1pP2p/3P3P/2P1B1P1/5PK1/4r3 w - - 6 38	5	5625	f8c8 e1g1 g2g1 g6g5 c8e8 h7h6 h4g5 h6h7 e8h5	Qxc8 Rg1+ Kxg1 g5 Qe8 Kh6 hxg5+ Kh7 Qxh5#	Qe8
r5k1/pp1Q3p/6p1/2n2p2/2pP4/B3R3/6PP/3R2K1 w - - 1 33	6	55576	d7d5 g8h8 d5c5 h8g7 c5e7 g7g8 e7f6 a7a5 e3e7 a8b8 f6g7	Qd5+ Kh8 Qxc5 Kg7 Qe7+ Kg8 Qf6 a5 Re7 Rb8 Qg7#	Qf6 Re7
r7/3p2kp/4p1p1/2p5/p1N1PQ2/P7/B1P3K1/5R2 w - - 0 34	4	21002	f4f7 g7h8 f1h1 h7h5 f7g6 a8g8 h1h5	Qf7+ Kh8 Rh1 h5 Qxg6 Rg8 Rxh5#	Rh1
rn4k1/p4q2/2p1B3/1pbp1p2/7R/2N3P1/PPP1Q2P/7K w - - 0 25	4	16373	e2e5 f7e6 e5h8 g8f7 h4h7 f7g6 h8g7	Qe5 Qxe6 Qh8+ Kf7 Rh7+ Kg6 Qg7#	Qe5
1r3k2/3Q4/p2N1p2/2pqp3/2P4P/1P4PK/8/1R6 w - - 0 52	5	12659	c4d5 f8g8 d6f5 b8b7 d7b7 g8f8 b7g7 f8e8 g7e7	cxd5 Kg8 Nf5 Rb7 Qxb7 Kf8 Qg7+ Ke8 Qe7#	Nf5
2b3nQ/5kP1/p1p1p3/2bpB3/4p1p1/1P6/2P2PP1/1K1R4 w - - 0 27	5	1540187	h8g8 f7g8 d1h1 c5f2 h1h8 g8f7 g7g8r f7e7 g8g7	Qxg8+ Kxg8 Rh1 Bxf2 Rh8+ Kf7 g8=R Ke7 Rg7#	Rh1
3R4/8/7p/6k1/3PP1P1/2r5/4K3/r7 b - - 14 62	5	11451	a1a2 e2d1 c3h3 d8d5 g5g4 d5f5 h3h1 f5f1 h1f1	Ra2+ Kd1 Rh3 Rd5+ Kxg4 Rf5 Rh1+ Rf1 Rxf1#	Rh3
4N3/8/3P1ppk/4p2p/4P2P/1n1P2P1/Q4PK1/3q4 w - - 5 46	5	7918	a2a7 d1f3 g2g1 f3d1 g1h2 d1h1 h2h1 g6g5 a7g7	Qa7 Qf3+ Kg1 Qd1+ Kh2 Qh1+ Kxh1 g5 Qg7#	Qa7
6k1/3R4/P6p/5pp1/3p2P1/3K1P2/8/4b3 w - - 3 48	5	23241	a6a7 e1b4 a7a8q b4f8 a8e8 f5g4 e8f7 g8h8 f7f8	a7 Bb4 a8=Q+ Bf8 Qe8 fxg4 Qf7+ Kh8 Qxf8#	a7 Qe8
6k1/3r2b1/4p3/2P5/2P5/P5KP/3p1PP1/8 b - - 1 39	6	27060	d2d1q h3h4 g7e5 f2f4 d7d3 g3h2 e5d4 g2g3 d1g1 h2h3 g1g3	d1=Q h4 Be5+ f4 Rd3+ Kh2 Bd4 g3 Qg1+ Kh3 Qxg3#	Bd4
6k1/4rp2/8/p1Q3K1/7P/8/8/8 w - - 7 53	5	14025	c5e7 g8g7 h4h5 a5a4 h5h6 g7g8 e7f6 g8f8 f6d8	Qxe7 Kg7 h5 a4 h6+ Kg8 Qf6 Kf8 Qd8#	h5 Qf6
7k/5R2/6K1/3R3p/6r1/8/8/8 w - - 3 86	5	8638	g6h6 h8g8 f7a7 g4f4 d5d8 f4f8 a7g7 g8h8 d8f8	Kh6 Kg8 Ra7 Rf4 Rd8+ Rf8 Rg7+ Kh8 Rxf8#	Ra7
7k/pR3K1p/6p1/4bp1r/5P2/1B4P1/8/8 w - - 6 54	5	12010	b7e7 h7h6 f7g6 h5g5 f4g5 e5g7 e7e8 g7f8 e8f8	Re7 h6 Kxg6 Rg5+ fxg5 Bg7 Re8+ Bf8 Rxf8#	Re7
8/2P3pk/4Bp1p/p1K5/1p6/5P2/7P/8 w - - 0 50	5	914948	e6f7 b4b3 c7c8q h6h5 c8f5 g7g6 f5g6 h7h8 g6g8	Bf7 b3 c8=Q h5 Qf5+ g6 Qxg6+ Kh8 Qg8#	Bf7
8/2k2P2/2b5/p2p4/1p3K2/8/P5Q1/8 w - - 0 52	5	69346	f7f8q c7b7 f8c5 a5a4 g2g7 b7b8 c5b6 b8c8 g7c7	f8=Q Kb7 Qc5 a4 Qg7+ Kb8 Qb6+ Kc8 Qgc7#	Qc5
8/5Qk1/p2p4/2pP2q1/2P5/p4p2/6N1/1r2R1K1 b - - 0 61	5	10260	g7f7 g1f2 g5g2 f2e3 b1e1 e3f4 f3f2 f4f5 f2f1q	Kxf7 Kf2 Qxg2+ Ke3 Rxe1+ Kf4 f2 Kf5 f1=Q#	f2
