# S095 candidates for the mate row tests/test_search.cpp "pruning does not
# hide a forced mate" gains: the labelled mates whose oracle line carries a
# quiet, non-checking, non-promotion move of the mating side -- the only class
# late move reduction can touch. 297 labelled mates from this project's own
# positions in, 141 out. Regenerate: adocs/data/S095_mine_mate_row.py
# candidates, then S230_mine_r01_row.py depths on the shipped tree and again
# with the site's guard opened, then S095_mine_mate_row.py pick.
# distance, pv and nodes are stockfish through python-chess, one fresh
# process per position at depth 20; nothing here is copied from it (DEC-016).
fen	mate_in	nodes	pv_uci	pv_san	quiets_on_line
4brbr/3p1p1p/3P1P1P/8/8/2Q5/4k1K1/8 w - - 0 1	9	38179	c3f3 e2e1 f3e3 e1d1 g2f2 d1c2 f2e2 c2b2 e2d2 b2b1 e3d3 b1b2 d3b5 b2a1 d2c2 a1a2 b5a6	Qf3+ Ke1 Qe3+ Kd1 Kf2 Kc2 Ke2 Kb2 Kd2 Kb1 Qd3+ Kb2 Qb5+ Ka1 Kc2 Ka2 Qa6#	Kf2 Ke2 Kd2 Kc2
7K/8/3qk3/8/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	3	2665	e6f7 h8h7 d6g6 h7h8 g6h5	Kf7 Kh7 Qg6+ Kh8 Qh5#	Kf7
8/2k5/8/8/r7/p2p1p1p/P2P1P1P/K3BRBR b - - 0 1	3	1641	a4c4 a1b1 c4c2 b1a1 c2c1	Rc4 Kb1 Rc2 Ka1 Rc1#	Rc4 Rc2
8/4q3/6K1/8/7k/p1p1p3/P1P1P3/RBRB4 b - - 0 1	5	9128	e7e6 g6g7 h4g5 g7f8 e6d7 f8g8 g5f6 g8f8 d7f7	Qe6+ Kg7 Kg5 Kf8 Qd7 Kg8 Kf6 Kf8 Qf7#	Kg5 Qd7 Kf6
8/5k2/8/8/4r3/p2p1p1p/P2P1P1P/3KBRBR b - - 0 1	3	1946	e4b4 d1c1 b4b2 c1d1 b2b1	Rb4 Kc1 Rb2 Kd1 Rb1#	Rb4 Rb2
8/8/2k3q1/8/8/2p1p1p1/2P1P1P1/1KRBRB2 b - - 0 1	3	2615	g6d6 b1a1 d6a3 a1b1 a3b2	Qd6 Ka1 Qa3+ Kb1 Qb2#	Qd6
8/8/3q4/8/8/p1p1p3/P1P1P3/RBRBk2K b - - 0 1	3	3457	d6g6 h1h2 e1f2 h2h1 g6g2	Qg6 Kh2 Kf2 Kh1 Qg2#	Qg6 Kf2
8/8/7k/8/8/1p1p1p2/1P1P1P2/q1BRBRK1 b - - 0 1	3	1775	a1a4 g1h2 a4g4 f1g1 g4h4	Qa4 Kh2 Qg4 Rg1 Qh4#	Qa4 Qg4
8/8/8/2r3k1/8/p1p1p2p/P1P1P2P/RBRB3K b - - 0 1	3	1320	c5f5 h1g1 f5f2 g1h1 f2f1	Rf5 Kg1 Rf2 Kh1 Rf1#	Rf5 Rf2
8/8/8/5k2/8/2p1p1pq/2P1P1P1/1KRBRB2 b - - 0 1	3	2358	h3g4 b1a2 g4b4 c1b1 b4a4	Qg4 Ka2 Qb4 Rb1 Qa4#	Qg4 Qb4
Q1brbrk1/1p1p1p2/1P1P1P2/8/8/5K2/8/8 w - - 0 1	3	2328	a8a5 g8h8 a5g5 h8h7 g5g7	Qa5 Kh8 Qg5 Kh7 Qg7#	Qa5 Qg5
k3brbr/p2p1p1p/P2P1P1P/8/4K3/8/8/R7 w - - 0 1	3	1564	a1c1 a8b8 c1c7 b8a8 c7c8	Rc1 Kb8 Rc7 Ka8 Rc8#	Rc1 Rc7
rbrb4/p1p1p1k1/P1P1P3/6K1/8/3Q4/8/8 w - - 0 1	4	6686	d3f5 g7h8 g5h6 h8g8 f5h7 g8f8 h7h8	Qf5 Kh8 Kh6 Kg8 Qh7+ Kf8 Qh8#	Qf5 Kh6
rbrb4/p1p1p3/P1P1P3/8/8/8/5k1K/1Q6 w - - 0 1	3	7414	b1e4 f2f1 h2g3 f1g1 e4e1	Qe4 Kf1 Kg3 Kg1 Qe1#	Qe4 Kg3
rbrbk3/p1p1p2p/P1P1P2P/6K1/8/7R/8/8 w - - 0 1	3	1283	h3g3 e8f8 g5f5 f8e8 g3g8	Rg3 Kf8 Kf5 Ke8 Rg8#	Rg3 Kf5
rbrbk3/p1p1p2p/P1P1P2P/8/1R2K3/8/8/8 w - - 0 1	3	1697	b4b3 e8f8 b3g3 f8e8 g3g8	Rb3 Kf8 Rg3 Ke8 Rg8#	Rb3 Rg3
1K6/2r5/8/3k4/8/p2p1p1p/P2P1P1P/4BRBR b - - 0 1	5	3877	d5c6 b8a8 c7d7 a8b8 d7f7 b8a8 c6b6 a8b8 f7f8	Kc6 Ka8 Rd7 Kb8 Rf7 Ka8 Kb6 Kb8 Rf8#	Kc6 Rd7 Rf7 Kb6
1k2brbr/p2pKpRp/P2P1P1P/8/8/8/8/8 w - - 0 1	4	3768	e7d8 b8a8 g7g3 a8b8 g3c3 b8a8 c3c8	Kd8 Ka8 Rg3 Kb8 Rc3 Ka8 Rc8#	Kd8 Rg3 Rc3
4brbr/3p1p1p/3P1P1P/3K4/2Q5/8/1k6/8 w - - 0 1	4	10881	d5d4 b2a3 c4b5 a3a2 d4c3 a2a3 b5b3	Kd4 Ka3 Qb5 Ka2 Kc3 Ka3 Qb3#	Kd4 Qb5 Kc3
4brbr/p2p1p1p/P2P1P1P/8/1K6/2R5/k7/8 w - - 0 1	4	5128	c3c2 a2a1 b4c3 a1b1 c3b3 b1a1 c2c1	Rc2+ Ka1 Kc3 Kb1 Kb3 Ka1 Rc1#	Kc3 Kb3
7K/4k3/8/8/8/p1p1p2p/P1P1P2P/RBRB3r b - - 0 1	4	2895	h1h2 h8h7 h2g2 h7h6 h3h2 h6h5 h2h1r	Rxh2 Kh7 Rg2 Kh6 h2 Kh5 h1=R#	Rg2 h2
7K/8/3k4/8/q7/p1p1p3/P1P1P3/RBRB4 b - - 0 1	4	9884	d6e6 h8g7 a4g4 g7h7 e6f6 h7h8 g4g7	Ke6 Kg7 Qg4+ Kh7 Kf6 Kh8 Qg7#	Ke6 Kf6
k1K5/8/8/4q3/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	4	6090	e5g7 c8d8 a8b7 d8e8 b7c6 e8d8 g7d7	Qg7 Kd8 Kb7 Ke8 Kc6 Kd8 Qd7#	Qg7 Kb7 Kc6
k3brbr/3p1p1p/3P1P1P/8/K7/8/8/5Q2 w - - 0 1	5	8970	a4a5 a8b7 f1b5 b7a8 a5b6 a8b8 b5d5 b8c8 d5a8	Ka5 Kb7 Qb5+ Ka8 Kb6 Kb8 Qd5 Kc8 Qa8#	Ka5 Kb6 Qd5
rbrb4/p1p1p2p/P1P1P2P/8/8/8/7R/1k1K4 w - - 0 1	4	3655	h2e2 b1a1 d1c2 a1a2 e2e3 a2a1 e3a3	Re2 Ka1 Kc2 Ka2 Re3 Ka1 Ra3#	Re2 Kc2 Re3
rbrb4/p1p1p3/P1P1P3/8/1k1K4/6Q1/8/8 w - - 0 1	4	8920	g3e1 b4b5 e1b1 b5a5 d4c4 a5a4 b1b4	Qe1+ Kb5 Qb1+ Ka5 Kc4 Ka4 Qb4#	Kc4
rbrb4/p1p1p3/P1P1P3/k3K3/2Q5/8/8/8 w - - 0 1	4	370057	c4b3 a5a6 e5d5 a6a5 d5c4 a7a6 b3b4	Qb3 Kxa6 Kd5 Ka5 Kc4 a6 Qb4#	Qb3 Kd5 Kc4
2K5/7q/8/7k/8/p1p1p3/P1P1P3/RBRB4 b - - 0 1	9	11516	h7e7 c8b8 h5h4 b8a8 h4g3 a8b8 e7d7 b8a8 g3f4 a8b8 f4e5 b8a8 e5d6 a8b8 d6c6 b8a8 d7b7	Qe7 Kb8 Kh4 Ka8 Kg3 Kb8 Qd7 Ka8 Kf4 Kb8 Ke5 Ka8 Kd6 Kb8 Kc6 Ka8 Qb7#	Qe7 Kh4 Kg3 Qd7 Kf4 Ke5 Kd6 Kc6
4brbr/3p1p1p/1k1P1P1P/8/K1Q5/8/8/8 w - - 0 1	5	6549	c4b5 b6a7 a4a5 a7a8 a5b6 a8b8 b5a5 b8c8 a5a8	Qb5+ Ka7 Ka5 Ka8 Kb6 Kb8 Qa5 Kc8 Qa8#	Ka5 Kb6 Qa5
7K/6r1/3k4/8/8/p2p1p1p/P2P1P1P/4BRBR b - - 0 1	6	8354	g7g5 h8h7 d6e7 h7h6 e7f6 h6h7 f6f7 h7h6 g5f5 h6h7 f5h5	Rg5 Kh7 Ke7 Kh6 Kf6 Kh7 Kf7 Kh6 Rf5 Kh7 Rh5#	Rg5 Ke7 Kf6 Kf7 Rf5
8/1q6/8/4k3/8/3p1p1p/3P1P1P/K3BRBR b - - 0 1	5	12205	e5d5 a1a2 d5c4 a2a1 c4b3 a1b1 b7g7 b1c1 g7a1	Kd5 Ka2 Kc4 Ka1 Kb3 Kb1 Qg7 Kc1 Qa1#	Kd5 Kc4 Kb3 Qg7
8/8/K7/5r2/k7/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1	5	3663	f5b5 a6a7 a4a5 a7a8 a5b6 a8b8 b5c5 b8a8 c5c8	Rb5 Ka7 Ka5 Ka8 Kb6 Kb8 Rc5 Ka8 Rc8#	Rb5 Ka5 Kb6 Rc5
rbrb4/p1p1p2p/P1P1P2P/8/1R6/8/8/3K3k w - - 0 1	6	10589	d1e2 h1g2 b4g4 g2h3 e2f3 h3h2 g4h4 h2g1 h4h3 g1f1 h3h1	Ke2 Kg2 Rg4+ Kh3 Kf3 Kh2 Rh4+ Kg1 Rh3 Kf1 Rh1#	Ke2 Kf3 Rh3
rbrb4/p1p1p2p/P1P1P2P/8/8/8/1k1K4/2R5 w - - 0 1	5	5407	c1c3 b2b1 c3b3 b1a1 d2d1 a1a2 d1c2 a2a1 b3a3	Rc3 Kb1 Rb3+ Ka1 Kd1 Ka2 Kc2 Ka1 Ra3#	Rc3 Kd1 Kc2
rbrb4/p1p1p3/P1P1P3/6Q1/8/1K5k/8/8 w - - 0 1	5	13022	b3c2 h3h2 c2d2 h2h3 d2e2 h3h2 e2f2 h2h1 g5g2	Kc2 Kh2 Kd2 Kh3 Ke2 Kh2 Kf2 Kh1 Qg2#	Kc2 Kd2 Ke2 Kf2
rbrb4/p1p1p3/P1P1P3/8/1k6/8/2QK4/8 w - - 0 1	6	778409	d2d3 b4b5 c2c4 b5b6 d3c3 b6a5 c4b3 a5a6 c3c4 a6a5 b3b5	Kd3 Kb5 Qc4+ Kb6 Kc3 Ka5 Qb3 Kxa6 Kc4 Ka5 Qb5#	Kd3 Kc3 Qb3 Kc4
8/1k6/3K4/pp6/1P1Q4/r2p4/8/8 w - - 0 79	9	25996	d4d5 b7a7 d5c5 a7b7 c5b5 b7a7 b5d7 a7b6 d7c6 b6a7 d6c7 a3c3 c6c3 a5a4 c3c5 a7a8 c5a5	Qd5+ Ka7 Qc5+ Kb7 Qxb5+ Ka7 Qd7+ Kb6 Qc6+ Ka7 Kc7 Rc3 Qxc3 a4 Qc5+ Ka8 Qa5#	Kc7
k7/6Q1/3K4/pp6/1P6/r2p4/8/8 w - - 2 80	4	11292	d6c6 a3c3 g7c3 d3d2 c3g7 d2d1r g7b7	Kc6 Rc3+ Qxc3 d2 Qg7 d1=R Qb7#	Kc6 Qg7
k7/6Q1/2K5/pp6/1P6/2rp4/8/8 w - - 4 81	3	3953	g7c3 a5b4 c3g7 d3d2 g7b7	Qxc3 axb4 Qg7 d2 Qb7#	Qg7
1r3r1k/2p1n1pp/8/p2n1p2/2BPp3/Q1B1P2q/1P3P1P/2R1R1K1 b - - 1 22	5	16769	f8f6 a3d6 f6d6 g1h1 d6g6 c4f1 h3f3 f1g2 f3g2	Rf6 Qd6 Rxd6 Kh1 Rg6 Bf1 Qf3+ Bg2 Qxg2#	Rf6 Rg6
6k1/1b5p/pP3B2/2R5/2P1qb1p/1P3pP1/3r1P1P/5QK1 b - - 7 41	6	42389	d2f2 f1d1 f2d2 d1d2 f4e3 d2e3 e4e3 g1f1 e3e2 f1g1 e2e1	Rxf2 Qd1 Rd2 Qxd2 Be3+ Qxe3 Qxe3+ Kf1 Qe2+ Kg1 Qe1#	Rd2
6k1/1b5p/pP3B2/2R5/2P1qb1p/1P3pP1/5r1P/3Q2K1 b - - 1 42	5	13409	f2d2 d1d2 f4d2 c5g5 d2g5 f6c3 e4e2 c3d2 e2g2	Rd2 Qxd2 Bxd2 Rg5+ Bxg5 Bc3 Qe2 Bd2 Qg2#	Rd2 Qe2
r5k1/5p2/8/2P5/4pp2/1p1n1PPp/7P/1Q5K b - - 0 48	5	40039	b3b2 b1b2 d3b2 h1g1 b2d3 g1f1 e4f3 g3f4 a8a1	b2 Qxb2 Nxb2 Kg1 Nd3 Kf1 exf3 gxf4 Ra1#	b2 Nd3
r5k1/5p2/8/2P5/4pp2/3n1PPp/1Q5P/7K b - - 0 49	4	69400	d3b2 h1g1 b2d3 g1f1 e4f3 g3f4 a8a1	Nxb2 Kg1 Nd3 Kf1 exf3 gxf4 Ra1#	Nd3
1R6/8/2p3p1/P5P1/1p2b2P/4kpK1/6B1/8 b - - 0 53	6	7192	f3g2 g3h2 e3f2 b8f8 e4f5 f8f5 g6f5 h2h3 g2g1q h4h5 g1h1	fxg2 Kh2 Kf2 Rf8+ Bf5 Rxf5+ gxf5 Kh3 g1=Q h5 Qh1#	Kf2
1R6/8/2p3p1/P5P1/1p2b2P/4k3/6pK/8 b - - 1 54	5	4586	e3f2 b8f8 e4f5 f8f5 g6f5 h2h3 g2g1q a5a6 g1h1	Kf2 Rf8+ Bf5 Rxf5+ gxf5 Kh3 g1=Q a6 Qh1#	Kf2
7k/5B2/5b1p/1N6/PPp5/2P3PP/4q3/6K1 b - - 0 40	9	555931	f6e5 b5d4 e2e3 g1g2 e5g3 h3h4 e3f2 g2h3 g3e5 h3g4 f2f4 g4h5 f4f7 h5g4 h6h5 g4g5 e5f4	Be5 Nd4 Qe3+ Kg2 Bxg3 h4 Qf2+ Kh3 Be5 Kg4 Qf4+ Kh5 Qxf7+ Kg4 h5+ Kg5 Bf4#	Be5 Be5
1r2r2k/8/p2pp1Q1/8/1PppP3/P2q3P/6P1/1R3RK1 w - - 0 35	4	332147	f1f7 d3e3 g1h1 e3h6 g6h6 h8g8 h6g7	Rf7 Qe3+ Kh1 Qh6 Qxh6+ Kg8 Qg7#	Rf7
6k1/5pp1/6np/1PP1p3/1Q2P1P1/3r1q1P/1B1R4/6K1 b - - 0 42	5	63064	g6f4 b2d4 e5d4 b4b2 f4h3 g1h2 f3g3 h2h1 g3g1	Nf4 Bd4 exd4 Qb2 Nxh3+ Kh2 Qg3+ Kh1 Qg1#	Nf4
6k1/5pp1/7p/1PP1p3/1Q1BPnP1/3r1q1P/3R4/6K1 b - - 2 43	4	18944	e5d4 b4c3 d3c3 g1h2 c3c1 d2d1 f3g2	exd4 Qc3 Rxc3 Kh2 Rc1 Rd1 Qg2#	Rc1
