guard=off margin=100 green nodes=3752725
guard=0 margin=100 RED nodes=1398911
guard=0 margin=150 RED nodes=1834601
guard=1 margin=100 RED nodes=1497079
guard=1 margin=150 RED nodes=1883320
guard=2 margin=100 RED nodes=2665386
guard=2 margin=150 RED nodes=2881798
guard=3 margin=100 RED nodes=1398911
guard=3 margin=150 RED nodes=1834601
guard=4 margin=100 RED nodes=1398911
guard=4 margin=150 RED nodes=1834601
