# S230 candidates for the capture mate row that separates R01.
# Regenerate: adocs/data/S230_mine_r01_row.py pool / label / line / join.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	captures_on_line	depths_found
r4k2/p1n2Np1/2p1P1Q1/1p1p2p1/1P1N4/P7/2P2RP1/6K1 w - - 1 33	3	5026	f7g5 f8e7 g6g7 e7d6 d4f5	Nxg5+ Ke7 Qxg7+ Kd6 Nf5#	Nxg5+ Qxg7+	d5 d6 d7 d8 d9 d10 d11 d12
r4rk1/7p/p1Nppp1B/1p6/2p1P1b1/P5Q1/1P3PP1/3R2K1 w - - 2 30	3	3118	g3g4 g8f7 g4g7 f7e8 g7e7	Qxg4+ Kf7 Qg7+ Ke8 Qe7#	Qxg4+	d5 d6 d7 d8 d9 d10 d11 d12
r5kr/1p1b4/p2QpBB1/8/3P3P/2P5/6K1/1R6 w - - 3 38	3	6769	d6d7 h8h7 g6h7 g8f8 f6g7	Qxd7 Rh7 Bxh7+ Kf8 Bg7#	Bxh7+	d5 d6 d7 d8 d9 d10 d11 d12
r5rk/1pB4p/p3BRpP/2P5/3p4/8/P5PK/5R2 w - - 1 31	3	4718	c7e5 g8g7 f6f8 a8f8 h6g7	Be5 Rg7 Rf8+ Rxf8 hxg7#	hxg7#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
rr5k/2n3Rp/8/p5N1/P7/1pQ2p2/5PKP/4R3 w - - 0 32	3	3211	g2f1 b8f8 g7h7 h8g8 c3g7	Kf1 Rf8 Rxh7+ Kg8 Qg7#	Rxh7+	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
1Q2R3/6k1/2pp1p1p/6p1/1p6/3K3P/1PP2q2/r7 b - - 7 49	4	6531	a1d1 d3c4 f2c2 c4b4 c2b2 b4a4 d1a1	Rd1+ Kc4 Qxc2+ Kxb4 Qxb2+ Ka4 Ra1#	Qxc2+ Qxb2+	d7 d8 d9 d10 d11 d12
1Q3b1k/5R1p/1p1q4/1P1Bp1p1/8/6P1/6KP/8 w - - 3 36	4	6803	f7f8 h8g7 b8d6 h7h5 f8f7 g7g8 d6d8	Rxf8+ Kg7 Qxd6 h5 Rf7+ Kg8 Qd8#	Rxf8+	d7 d8 d9 d10 d11 d12
1R3r2/4Q3/6kp/6p1/4P3/2p2P1P/6PK/2q5 w - - 3 49	4	5644	b8b6 f8f6 e7f6 g6h7 f6f7 h7h8 b6h6	Rb6+ Rf6 Qxf6+ Kh7 Qf7+ Kh8 Rxh6#	Qxf6+ Rxh6#	d5 d6 d7 d8 d9 d10 d11 d12
1R4k1/5pp1/8/3P4/4p2P/5pP1/4rP2/r3NK2 b - - 2 45	4	1625	g8h7 b8h8 h7h8 f1g1 e2e1 g1h2 e1h1	Kh7 Rh8+ Kxh8 Kg1 Rexe1+ Kh2 Rh1#	Rexe1+	d7 d8 d9 d10 d11 d12
1kn5/2Q5/1p4p1/1P6/4r1P1/1P3p1q/P4P2/3R2K1 b - - 0 51	4	2959	b8c7 d1c1 c7b7 c1c7 b7c7 a2a3 e4g4	Kxc7 Rc1+ Kb7 Rc7+ Kxc7 a3 Rxg4#	Rxg4#	d7 d8 d9 d10 d11 d12
2r1r1k1/6q1/1pbBp1R1/p2pP3/P1pP3Q/7P/5P2/1R4K1 w - - 1 48	4	6839	g6g7 g8g7 g1h2 e8g8 b1g1 g7f7 h4e7	Rxg7+ Kxg7 Kh2 Rg8 Rg1+ Kf7 Qe7#	Rxg7+	none
2r2k2/1p3p1b/p2P1Q1p/6p1/3B1p2/P1N2R1P/6PK/2q5 w - - 3 37	4	10188	d6d7 c1h1 h2h1 c8b8 d7d8q b8d8 f6d8	d7 Qh1+ Kxh1 Rb8 d8=Q+ Rxd8 Qxd8#	Qxd8#	d8 d9 d10 d11 d12
3N1bk1/3Q3p/6p1/p3Bp1n/1p6/3P1P1P/1q5K/8 w - - 0 33	10	6392	e5b2 f8d6 h2g1 d6c5 d3d4 c5e7 d7e8 g8g7 e8e7 g7h6 d8f7 h6g7 f7e5 g7h6 b2c1 h5f4 c1f4 h6h5 e7h7	Bxb2 Bd6+ Kg1 Bc5+ d4 Be7 Qe8+ Kg7 Qxe7+ Kh6 Nf7+ Kg7 Ne5+ Kh6 Bc1+ Nf4 Bxf4+ Kh5 Qxh7#	Qxe7+ Qxh7#	d9 d10 d11 d12
