# S230 candidates for the capture mate row that separates R01.
# Regenerate: adocs/data/S230_mine_r01_row.py pool / label / line / join.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	captures_on_line	depths_found
r1k3r1/pR3p2/Bp6/4q3/7Q/P5P1/1P4KP/8 w - - 4 36	6	18444	b7f7 c8b8 f7b7 b8c8 h4h3 g8g4 h3g4 e5e6 g4e6 c8d8 e6d7	Rxf7+ Kb8 Rb7+ Kc8 Qh3+ Rg4 Qxg4+ Qe6 Qxe6+ Kd8 Qd7#	Rxf7+ Qxg4+	d9 d10 d11 d12
r3bk2/1p4pQ/2p1p2p/2q1P3/2p3P1/8/2B3KP/3RR3 w - - 6 33	5	12106	e1f1 c5f2 f1f2 e8f7 h7h8 f8e7 f2f7 e7f7 d1d7	Rf1+ Qf2+ Rxf2+ Bf7 Qh8+ Ke7 Rxf7+ Kxf7 Rd7#	Rxf7+	d7 d8 d9 d10 d11 d12
r4b1k/5Qp1/p3P2p/3p1N2/3p1B2/7P/q4PP1/5RK1 w - - 3 27	10	537339	e6e7 a2a3 f4e5 h8h7 h3h4 h6h5 f7h5 h7g8 h5g6 a8c8 e7e8q c8c7 f5h6 g8h8 h6f7 c7f7 g6h5 h8g8 e8f7	e7 Qa3 Be5 Kh7 h4 h5 Qxh5+ Kg8 Qg6 Rc8 e8=Q Rc7 Nh6+ Kh8 Nf7+ Rxf7 Qh5+ Kg8 Qexf7#	Qxh5+ Qexf7#	d11
r4rk1/pq2b3/4p2Q/2n1p2P/1pP5/4B3/PP6/2KR3R w - - 4 28	5	8896	h1g1 b7g2 g1g2 e7g5 g2g5 g8f7 h6g6 f7e7 e3c5	Rhg1+ Qg2 Rxg2+ Bg5 Rxg5+ Kf7 Qg6+ Ke7 Bxc5#	Rxg5+	d7 d8 d9 d10 d11 d12
r6k/3b1pqp/p2p1p2/2pP1P2/4P2Q/P1P3RP/2P4K/R7 w - - 3 36	6	10094	g3g7 h8g7 a1g1 g7f8 h4f6 a8e8 f6d6 e8e7 d6h6 f8e8 g1g8	Rxg7 Kxg7 Rg1+ Kf8 Qxf6 Re8 Qxd6+ Re7 Qh6+ Ke8 Rg8#	Qxd6+	d8 d11 d12
1R6/5R2/4p1pk/4Nb2/5P1p/r3K3/8/8 w - - 5 49	8	10968	e3d2 a3a2 d2c3 a2c2 c3d4 c2d2 d4e3 d2d3 e5d3 g6g5 b8h8 f5h7 h8h7 h6g6 d3e5	Kd2 Ra2+ Kc3 Rc2+ Kd4 Rd2+ Ke3 Rd3+ Nxd3 g5 Rh8+ Bh7 Rhxh7+ Kg6 Ne5#	Rhxh7+	none
1k6/8/2K5/6R1/1P6/8/8/5b2 w - - 1 72	6	832175	g5g8 b8a7 c6c7 f1c4 g8g5 c4e2 g5a5 e2a6 b4b5 a7a8 a5a6	Rg8+ Ka7 Kc7 Bc4 Rg5 Be2 Ra5+ Ba6 b5 Ka8 Rxa6#	Rxa6#	none
1n3rk1/1QN4p/2p5/1pP1P3/8/P3q2P/8/1R5K b - - 1 38	6	19730	e3e4 h1g1 e4b1 g1h2 f8f2 h2g3 b1g1 g3h4 f2f4 h4h5 g1g6	Qe4+ Kg1 Qxb1+ Kh2 Rf2+ Kg3 Qg1+ Kh4 Rf4+ Kh5 Qg6#	Qxb1+	d11 d12
1r1rN1k1/3R1p1p/5Qp1/2p1P3/P4P2/2p3nP/5qP1/5RK1 w - - 6 33	6	7260	f1f2 b8b1 g1h2 b1h1 h2g3 h1h3 g3h3 d8e8 f6f7 g8h8 f7e8	Rxf2 Rb1+ Kh2 Rh1+ Kxg3 Rxh3+ Kxh3 Rxe8 Qxf7+ Kh8 Qxe8#	Qxf7+ Qxe8#	d9 d10 d11 d12
2r2rk1/pp5p/3p2p1/3P2P1/5p2/P1b2P2/1qN1K2Q/3R3R b - - 1 28	6	7542	b2c2 d1d2 c2d2 e2f1 d2e1 f1g2 e1e2 g2g1 c3d4 h2f2 e2f2	Qxc2+ Rd2 Qxd2+ Kf1 Qe1+ Kg2 Qe2+ Kg1 Bd4+ Qf2 Qxf2#	Qxc2+ Qxd2+ Qxf2#	d11 d12
2r3k1/1b1p1p2/3PpPp1/4P2p/P4B2/1P5P/4q1P1/6QK b - - 0 48	6	59945	c8c2 f4d2 c2d2 h1h2 e2f3 a4a5 d2g2 h2h1 g2g1 h1g1 f3g2	Rc2 Bd2 Rxd2 Kh2 Qf3 a5 Rxg2+ Kh1 Rxg1+ Kxg1 Qg2#	Rxg2+ Rxg1+	none
2r4r/kq3pb1/N3p1p1/QPp1Pn1p/2PPRP2/7P/5BP1/R5K1 w - - 1 31	6	70199	a6c5 a7b8 c5b7 c8c4 a5b6 b8c8 b7d6 f5d6 a1a8 c8d7 b6d6	Nxc5+ Kb8 Nxb7 Rxc4 Qb6 Kc8 Nd6+ Nxd6 Ra8+ Kd7 Qxd6#	Nxc5+ Qxd6#	d11 d12
3RR1nk/6b1/6p1/p5Np/P4P2/7P/8/1r1K4 w - - 11 46	6	6404	d1c2 b1c1 c2c1 g7b2 c1b2 h8g7 d8d7 g8e7 d7e7 g7f6 e7f7	Kc2 Rc1+ Kxc1 Bb2+ Kxb2 Kg7 Rd7+ Ne7 Rdxe7+ Kf6 Rf7#	Rdxe7+	d12
3r2k1/4r1b1/ppQ5/8/1P2pR2/2PP4/P4P2/2R1KN1q b - - 2 38	7	20415	e4d3 f4e4 e7e4 c6e4 h1e4 f1e3 e4f3 c1c2 d3c2 e1f1 c2c1q e3d1 d8d1	exd3+ Re4 Rxe4+ Qxe4 Qxe4+ Ne3 Qf3 Rc2 dxc2 Kf1 c1=Q+ Nd1 Rxd1#	Rxe4+ Rxd1#	d11 d12
4r3/4kpQ1/3Rq3/3P3p/Pr6/1nN5/5P1P/6K1 w - - 0 37	8	11916	d6e6 e7d8 g7f6 d8c7 f6f7 e8e7 f7e7 c7b8 e7b4 b8c7 e6c6 c7d8 b4b7 b3a5 c6c8	Rxe6+ Kd8 Qf6+ Kc7 Qxf7+ Re7 Qxe7+ Kb8 Qxb4+ Kc7 Rc6+ Kd8 Qb7 Na5 Rc8#	Rxe6+ Qxf7+ Qxe7+ Qxb4+	d11 d12
5R2/2p2R1p/7k/n7/8/1p1B4/3q2PP/7K w - - 6 42	6	12684	f7h7 h6g5 h2h4 g5g4 h7g7 d2g5 g7g5 g4h4 g5g7 b3b2 f8h8	Rxh7+ Kg5 h4+ Kg4 Rg7+ Qg5 Rxg5+ Kxh4 Rg7 b2 Rh8#	Rxh7+ Rxg5+	none
5qr1/7k/4R2b/p3QppP/1nP5/1PB2NP1/6K1/8 w - - 1 36	6	27798	e6f6 f8e8 e5f5 g8g6 f6f7 e8f7 f5f7 g6g7 f3g5 h7h8 f7e8	Rf6 Qe8 Qxf5+ Rg6 Rf7+ Qxf7 Qxf7+ Rg7 Nxg5+ Kh8 Qe8#	Qxf5+ Nxg5+	d9 d10 d11 d12
5r2/7k/Q2p1qp1/2pPp3/2P1b1Bp/1r2P2P/7K/3NR3 b - - 3 47	7	28932	b3b2 e1e2 f6f1 a6a7 h7h8 a7h7 h8h7 g4f3 b2e2 d1f2 e2f2 f3g2 f1g2	Rb2+ Re2 Qf1 Qa7+ Kh8 Qh7+ Kxh7 Bf3 Rxe2+ Nf2 Rxf2+ Bg2 Qxg2#	Rxe2+ Rxf2+ Qxg2#	d11 d12
6k1/1R6/6p1/1p6/3n4/1PB4R/1P5K/3r4 w - - 1 43	8	451093	h2g2 d1d2 c3d2 d4e6 h3e3 e6g7 d2c3 g6g5 b7g7 g8f8 g7b7 g5g4 c3b4 f8g8 e3e8	Kg2 Rd2+ Bxd2 Ne6 Re3 Ng7 Bc3 g5 Rxg7+ Kf8 Rb7 g4 Bb4+ Kg8 Re8#	Rxg7+	d11 d12
7k/2r5/pp2p2B/3bN2Q/2P2p2/7P/q1P2PP1/4R1K1 w - - 1 35	7	15872	h6g5 h8g8 h5e8 g8g7 e8g6 g7f8 g5h6 f8e7 g6f7 e7d6 h6f8 c7e7 f7e7	Bg5+ Kg8 Qe8+ Kg7 Qg6+ Kf8 Bh6+ Ke7 Qf7+ Kd6 Bf8+ Re7 Qxe7#	Qxe7#	d11 d12
8/2N1Pkp1/1p1P3p/2p2p2/5p2/1P3P2/6PP/b4K2 w - - 3 41	6	13161	e7e8q f7f6 h2h4 g7g5 d6d7 f6g7 d7d8q h6h5 d8g5 g7h7 e8h5	e8=Q+ Kf6 h4 g5 d7 Kg7 d8=Q h5 Qxg5+ Kh7 Qexh5#	Qxg5+ Qexh5#	d12
8/2r2qkp/4QNp1/3P4/8/7P/1p4PK/4r3 b - - 1 45	6	27327	e1e6 d5d6 f7f6 h2g3 c7c3 g3h2 f6f4 g2g3 f4g3 h2h1 b2b1q	Rxe6 d6 Qxf6 Kg3 Rc3+ Kh2 Qf4+ g3 Qxg3+ Kh1 b1=Q#	Qxg3+	d12
8/5k2/p6p/1p2r1P1/1P6/P1P1Bp1b/5P1P/6K1 b - - 0 36	7	14499	h6g5 c3c4 b5c4 e3d2 e5e2 d2c3 g5g4 b4b5 e2c2 b5a6 c2c1 c3e1 c1e1	hxg5 c4 bxc4 Bd2 Re2 Bc3 g4 b5 Rc2 bxa6 Rc1+ Be1 Rxe1#	Rxe1#	d12
8/6qk/4Q3/r2B1p2/p6p/P7/3p1P1P/4R2K w - - 0 34	6	10469	e6f5 g7g6 e1e7 h7h6 f5f4 g6g5 f4f8 h6h5 e7h7 h5g4 f8f3	Qxf5+ Qg6 Re7+ Kh6 Qf4+ Qg5 Qf8+ Kh5 Rh7+ Kg4 Qf3#	Qxf5+	d11 d12
8/pQ3b2/2p2k2/2N1b3/2n5/P5P1/3q2BK/8 b - - 6 44	6	29398	f7d5 b7g7 f6g7 c5e6 g7g6 e6f4 e5f4 h2h3 d2g2 h3h4 g2g3	Bd5 Qg7+ Kxg7 Ne6+ Kg6 Nf4+ Bxf4 Kh3 Qxg2+ Kh4 Qxg3#	Qxg2+ Qxg3#	d9 d10 d11 d12
r5rk/1pp4p/5b1q/3P1pN1/8/PQ2P2b/1PBN4/R5K1 b - - 0 31	6	71151	h6g5 g1f2 g5g2 f2e1 h3g4 d2f3 g4f3 b3c4 f6h4 c4h4 g2e2	Qxg5+ Kf2 Qg2+ Ke1 Bg4 Nf3 Bxf3 Qc4 Bh4+ Qxh4 Qe2#	Qxg5+	none
8/1k6/3K4/pp6/1P1Q4/r2p4/8/8 w - - 0 79	9	25996	d4d5 b7a7 d5c5 a7b7 c5b5 b7a7 b5d7 a7b6 d7c6 b6a7 d6c7 a3c3 c6c3 a5a4 c3c5 a7a8 c5a5	Qd5+ Ka7 Qc5+ Kb7 Qxb5+ Ka7 Qd7+ Kb6 Qc6+ Ka7 Kc7 Rc3 Qxc3 a4 Qc5+ Ka8 Qa5#	Qxb5+	none
1r3r1k/2p1n1pp/8/p2n1p2/2BPp3/Q1B1P2q/1P3P1P/2R1R1K1 b - - 1 22	5	16769	f8f6 a3d6 f6d6 g1h1 d6g6 c4f1 h3f3 f1g2 f3g2	Rf6 Qd6 Rxd6 Kh1 Rg6 Bf1 Qf3+ Bg2 Qxg2#	Qxg2#	d9 d10 d11 d12
1r5k/2p1n1pp/3Q1r2/p2n1p2/2BPp3/2B1P2q/1P3P1P/2R1R1K1 b - - 3 23	4	9176	c7d6 c4e2 f6g6 e2g4 g6g4 g1h1 h3g2	cxd6 Be2 Rg6+ Bg4 Rxg4+ Kh1 Qg2#	Rxg4+	d7 d8 d9 d10 d11 d12
1r5k/2p1n1pp/3r4/p2n1p2/3Pp3/2B1P2q/1P2BP1P/2R1R1K1 b - - 1 24	3	4202	d6g6 e2g4 g6g4 g1h1 h3g2	Rg6+ Bg4 Rxg4+ Kh1 Qg2#	Rxg4+	d5 d6 d7 d8 d9 d10 d11 d12
1r5k/2p1n1pp/6r1/p2n1p2/3Pp1B1/2B1P2q/1P3P1P/2R1R1K1 b - - 3 25	2	1701	g6g4 g1h1 h3g2	Rxg4+ Kh1 Qg2#	Rxg4+	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
r2r2k1/2p2pbp/p1P3p1/5Bq1/1P1P4/2P1Nb2/1BQ2P1K/R5n1 b - - 1 27	3	5782	g5h4 f5h3 h4h3 h2g1 h3h1	Qh4+ Bh3 Qxh3+ Kxg1 Qh1#	Qxh3+	d5 d6 d7 d8 d9 d10 d11 d12
6rr/1p3k2/pPp1p3/2Pp1p2/P2P1P1b/4Pq2/1B4QR/2R3K1 b - - 1 60	4	6943	g8g2 h2g2 h4f2 g1f1 h8h1 g2g1 h1g1	Rxg2+ Rxg2 Bf2+ Kf1 Rh1+ Rg1 Rxg1#	Rxg2+ Rxg1#	d5 d6 d7 d8 d9 d10 d11 d12
7k/5B2/5b1p/1N6/PPp5/2P3PP/4q3/6K1 b - - 0 40	9	555931	f6e5 b5d4 e2e3 g1g2 e5g3 h3h4 e3f2 g2h3 g3e5 h3g4 f2f4 g4h5 f4f7 h5g4 h6h5 g4g5 e5f4	Be5 Nd4 Qe3+ Kg2 Bxg3 h4 Qf2+ Kh3 Be5 Kg4 Qf4+ Kh5 Qxf7+ Kg4 h5+ Kg5 Bf4#	Qxf7+	d11 d12
r2r2k1/2p2pbp/p1P3p1/6q1/1P1P4/2PBNb1n/1BQ2P1K/R5R1 b - - 0 26	4	10293	h3g1 d3f5 g5h4 f5h3 h4h3 h2g1 h3h1	Nxg1 Bf5 Qh4+ Bh3 Qxh3+ Kxg1 Qh1#	Qxh3+	d7 d8 d9 d10 d11 d12
4R3/1p3Q2/p1n1p1p1/3P2k1/8/1b5P/5PPK/2q5 w - - 2 35	5	30958	h3h4 g5h4 f7g6 c1g1 h2g1 b3d1 e8h8 d1h5 g6h5	h4+ Kxh4 Qxg6 Qg1+ Kxg1 Bd1 Rh8+ Bh5 Qxh5#	Qxh5#	d11 d12
6k1/5pp1/6np/1PP1p3/1Q2P1P1/3r1q1P/1B1R4/6K1 b - - 0 42	5	63064	g6f4 b2d4 e5d4 b4b2 f4h3 g1h2 f3g3 h2h1 g3g1	Nf4 Bd4 exd4 Qb2 Nxh3+ Kh2 Qg3+ Kh1 Qg1#	Nxh3+	d11 d12
6rr/1p3k2/pPp1p3/2Pp1p1q/P2P1P1b/4PB2/1B4Q1/2R3KR b - - 0 59	5	8238	h5f3 h1h2 g8g2 h2g2 h4f2 g1f1 h8h1 g2g1 h1g1	Qxf3 Rh2 Rxg2+ Rxg2 Bf2+ Kf1 Rh1+ Rg1 Rxg1#	Rxg2+ Rxg1#	d7 d8 d9 d10 d11 d12
r2r2k1/2p2pbp/p1P3p1/6q1/1P1P4/2PBNb1n/1BQ2PpK/R3R3 b - - 1 25	5	14299	g2g1q e1g1 h3g1 d3f1 g5h4 f1h3 h4h3 h2g1 h3h1	g1=Q+ Rxg1 Nxg1 Bf1 Qh4+ Bh3 Qxh3+ Kxg1 Qh1#	Qxh3+	d9 d10 d11 d12
4b1k1/7p/p4ppQ/2Bp4/8/1P5P/P4PP1/1q4K1 w - - 2 29	7	7308	g1h2 b1h1 h2h1 g8f7 h6f8 f7e6 f8e8 e6f5 g2g4 f5g5 e8e3 g5h4 e3h6	Kh2 Qh1+ Kxh1 Kf7 Qf8+ Ke6 Qxe8+ Kf5 g4+ Kg5 Qe3+ Kh4 Qh6#	Qxe8+	d11 d12
r2r2k1/2p2pbp/p1P3p1/6q1/1P1P1n2/2PBNb1P/1BQ2Pp1/R3R1K1 b - - 2 24	6	11639	f4h3 g1h2 g2g1b e1g1 h3g1 d3f1 g5h4 f1h3 h4h3 h2g1 h3h1	Nxh3+ Kh2 g1=B+ Rxg1 Nxg1 Bf1 Qh4+ Bh3 Qxh3+ Kxg1 Qh1#	Nxh3+ Qxh3+	d11 d12
